gid1,gid2,similarity
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,11eabe0c-2638-4808-92f9-1dbd9c453429,1.3333333333333333
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,90b97e8e-2409-4084-9fc3-be6e159e3f4b,1.2619047619047619
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,6805e4d5-f550-40fe-b731-05dc8229e74b,1.1666666666666665
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,8b431ac6-0806-4e4a-9b6b-1734370fa890,1.1428571428571428
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,71a94ed8-03cc-459a-bd35-a081ca88a402,1.0952380952380951
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,1f43d76f-8edf-44f6-aaf1-b65f05ad9402,1.0833333333333335
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,1f16a425-2606-4137-a6b7-234b6dabe037,1.0833333333333335
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,e3c5a219-8d32-4b10-ba45-31bfa677e821,1.0833333333333335
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,fd3c3f9f-a471-498e-ab3a-940ac20b6bbd,1.0833333333333335
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,eb872766-98f6-453d-883f-2ae908a18315,1.0535714285714286
44419ff2-0251-49ba-933b-b09733ff9adb,e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,0.42857142857142855
44419ff2-0251-49ba-933b-b09733ff9adb,57976431-1a5c-4968-a422-b92c5e9b0d4f,0.42857142857142855
44419ff2-0251-49ba-933b-b09733ff9adb,ec00bb41-4c82-4948-a6de-155422b215a1,0.25
44419ff2-0251-49ba-933b-b09733ff9adb,995e64b4-eddb-4da9-859a-cc558b718cdf,0.25
44419ff2-0251-49ba-933b-b09733ff9adb,89c83caa-7f08-4e0d-bee9-db0139044e38,0.25
44419ff2-0251-49ba-933b-b09733ff9adb,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,0.25
44419ff2-0251-49ba-933b-b09733ff9adb,5ca264e3-0385-489f-9d11-9bb1089bada0,0.25
44419ff2-0251-49ba-933b-b09733ff9adb,cbd827e1-4e38-427e-a436-642683433732,0.25
