"id","gid","name","gid_similar"
"1","caba0b6c-034b-4a00-866f-e35c15596803","Forest City Lovers","caba0b6c-034b-4a00-866f-e35c15596803"
"2","a8ee8df4-65d8-42aa-a9cd-edfa5bab61ac","The 1900s","a8ee8df4-65d8-42aa-a9cd-edfa5bab61ac"
"3","ff5060a5-8d1f-4516-9592-0252a065fb00","The Whispertown 2000","ff5060a5-8d1f-4516-9592-0252a065fb00"
"4","6872de97-e58b-4eb1-81de-a2ddf0a05f04","Danielson","6872de97-e58b-4eb1-81de-a2ddf0a05f04"
"5",\N,"Rabbit!","0c8ffcfa-74a3-43bb-b70c-107586e8a87c"
"6","e77fc1ee-5bfb-4f16-91c0-fdd161e65701","Dreamend","e77fc1ee-5bfb-4f16-91c0-fdd161e65701"
"7",\N,"Real Magic","0"
"8","b92ffff5-43fa-4655-8afd-d4fe5278d4b1","Minus Story","b92ffff5-43fa-4655-8afd-d4fe5278d4b1"
"9",\N,"rtpj","0"
"10",\N,"Laura Hill","0"
"11","d6f199b7-d5a8-4af2-aca5-bc1c2669183c","Pterodactyl","d6f199b7-d5a8-4af2-aca5-bc1c2669183c"
"12","6b35f310-3ba2-4fef-afa2-33f5cc706652","Double Dagger","6b35f310-3ba2-4fef-afa2-33f5cc706652"
"13","33c5f321-37b5-4c8e-8eff-a8a6a5ac2e44","Oneida","33c5f321-37b5-4c8e-8eff-a8a6a5ac2e44"
"14","77947772-db1a-43dd-82a6-aa1902886f23","Dan Friel","77947772-db1a-43dd-82a6-aa1902886f23"
"15",\N,"Tyondai Braxton","9b771025-f34d-4dbf-a313-c46495ef5505"
"16","87e27246-8c40-407f-bfb3-5dc416557eeb","Royal Trux","87e27246-8c40-407f-bfb3-5dc416557eeb"
"17","7fa9cc77-c2fa-4b4c-985a-6707d1794af8","Black Bananas","7fa9cc77-c2fa-4b4c-985a-6707d1794af8"
"18","beb385d7-b5d9-41a9-a75a-6ac94dcf1c44","The Howling Hex","beb385d7-b5d9-41a9-a75a-6ac94dcf1c44"
"19",\N,"Pussy Galore","cf97d78e-7c86-4931-92c0-b8e22bae1e33"
"20",\N,"Neil Michael Hagerty","dabacddd-26f0-45b9-b6eb-17fa31af7329"
"21",\N,"Bad Tits","a1e647ca-cbf7-4227-b485-3ecc4f749ac0"
"22",\N,"Femme Fatale","005f4b82-1559-4cd8-a1bf-8a6b1b6f054a"
"23","92dc699f-fcbc-4278-afbe-40b5ad060a55","Death From Above 1979","92dc699f-fcbc-4278-afbe-40b5ad060a55"
"24","7208d210-66d4-413a-90c3-167b2e6bd4fb","Felix Cartal","7208d210-66d4-413a-90c3-167b2e6bd4fb"
"25",\N,"Ladyfinger (ne)","00410b02-3bde-44fc-9ac1-3288e9882c83"
"26",\N,"Momus","ff9c106f-e342-4543-a376-776e08121f69"
"27",\N,"Bishi","2891a977-fe9f-4be0-b7f3-03e96fd83226"
"28","6d394418-a565-4c16-9dec-f5a89e213cde","Owen Pallett","6d394418-a565-4c16-9dec-f5a89e213cde"
"29","f6ff91c0-f2c9-484f-9c4c-c55013658e52","Fryars","f6ff91c0-f2c9-484f-9c4c-c55013658e52"
"30","4ac4e32b-bd18-402e-adad-ae00e72f8d85","Patrick Wolf","4ac4e32b-bd18-402e-adad-ae00e72f8d85"
"31",\N,"Novi Split","7178f02c-e95d-43cf-9c98-8a3d6e5cb7d1"
"32",\N,"Silver Scooter","88004b2d-4c82-487f-901f-24a1fe583154"
"33","0fa9d139-18f2-47c6-9d64-c547d3fc740b","Blanket Music","0fa9d139-18f2-47c6-9d64-c547d3fc740b"
"34","329173b0-a27e-4ce1-8ada-0ff863a7c445","Nick Jaina","329173b0-a27e-4ce1-8ada-0ff863a7c445"
"35",\N,"Blood Lines","0"
"36",\N,"Whispertown","8d6a48ee-f4c2-4fa0-b78d-7b095bccebbc"
"37","e88265a7-acb6-4355-837d-e405d048b908","The Elected","e88265a7-acb6-4355-837d-e405d048b908"
"38",\N,"Johnathan Rice","a68a1001-8a09-4d8c-8083-289885825200"
"39","eaf6a7ca-105d-4a94-ba02-8c3e4040319a","Rilo Kiley","eaf6a7ca-105d-4a94-ba02-8c3e4040319a"
"40","7f4b5546-a3c3-4e55-ba8d-53bf937fed30","The Watson Twins","7f4b5546-a3c3-4e55-ba8d-53bf937fed30"
"41","ff2039e0-a4b3-4c6e-ad23-949f8ec63ffc","Glasser","ff2039e0-a4b3-4c6e-ad23-949f8ec63ffc"
"42","6d1c047a-cab2-46eb-9fe4-db8e8c2e0bf5","Twin Sister","6d1c047a-cab2-46eb-9fe4-db8e8c2e0bf5"
"43","7b86b54f-17bc-4082-8ded-b2f1b92f7606","Love Inks","7b86b54f-17bc-4082-8ded-b2f1b92f7606"
