"id","gid","male","female"
"1","f1c7e462-7d08-430f-8255-dd2afec63f36","1698","1847"
"2","90280fe3-6853-4935-9d65-ead97b8ab138","4790","3416"
"3","c80f38a6-9980-485d-997c-5c1a9cbd0d64","13602","17151"
"4","763cf642-45ad-42ed-a1c3-e977eaa3b260","4219","3199"
"5","7e571e09-887e-4544-b993-eb75e7837ec1","1691","883"
"6","01d3c51b-9b98-418a-8d8e-37f6fab59d8c","2349","3283"
"7","164f0d73-1234-4e2c-8743-d77bf2191051","20315","15058"
"8","95e1ead9-4d31-4808-a7ac-32c3614c116b","15173","22184"
"9","165fbcc9-342a-43b2-bc4e-a96664ae12a5","184","74"
"10","9df31471-e54e-43ba-bbe8-38fd94c63dbb","3039","2506"
"11","ef656595-bbe8-4386-8953-be8df9f54472","12776","18397"
"12","bed91301-68b0-4d3d-9104-f8fb9ae76489","1308","916"
"13","87c5dedd-371d-4a53-9f7f-80522fb7f3cb","15370","17191"
"14","a2a4ab71-cbda-436b-8d1d-94a1469ffbe6","1859","1990"
"15","ea5883b7-68ce-48b3-b115-61746ea53b8c","17864","14739"
"16","10df7475-e4cd-4f9b-aa05-effd1b95992b","1200","1034"
"17","59a7fbcb-ff74-494d-abd0-9c82359040c9","13089","13751"
"18","e618770f-e994-41c3-856f-1eedf56b6d74","12451","24692"
"19","75167b8b-44e4-407b-9d35-effe87b223cf","17910","10398"
"20","ea4dfa26-f633-4da6-a52a-f49ea4897b58","17663","14463"
"21","78f797e3-4913-4026-aad0-1cd858bd735b","12920","23981"
"22","0110e63e-0a9b-4818-af8e-41e180c20b9a","12088","17970"
"23","97b1142f-c71e-4971-8736-4a8ceaf6b4c3","14588","20928"
"24","83b9cbe7-9857-49e2-ab8e-b57b01038103","20804","13542"
"25","ba99a190-6065-4930-be3d-55ecc48e365d","9495","22345"
"26","a74b1b7f-71a5-4011-9441-d0b5e4122711","20344","19171"
"27","37116914-db39-443c-981d-75d6326450f1","3186","2391"
"28","9de23f23-f207-411c-9889-af24fe7edf52","11535","10304"
"29","91f909a4-809a-47a7-b15f-94d6878b06cb","3762","4130"
"30","57843aed-c1c1-4f45-9859-478dd999bc18","4979","3883"
"31","5041fa92-55f8-4bcc-8021-3d0c876ab795","2640","1718"
"32","5115929f-f133-47b4-bf1c-8a0df582ce23","3061","4065"
"33","346c0b5c-a3c4-4be9-a78f-c633df0a046b","3730","3979"
"34","17450c7d-0c4b-489c-b6aa-40faca558521","833","1298"
"35","767026a6-9e39-463b-9d04-ed0f86ac5ee7","1570","1414"
"36","f7e6b373-bbf7-4262-8a5f-5b7b5966900f","2188","3701"
"37","ae9ed5e2-4caf-4b3d-9cb3-2ad626b91714","10000","19426"
"38","dcebc476-b53c-42ee-9251-f946a4c3cea2","7559","14102"
"39","4c730f5d-a27c-49fc-b505-23c2c61a6840","9700","20410"
"40","7c880ef3-3a53-41f2-b082-5b273596e18f","2206","682"
"41","79255a50-40df-447f-9612-2cf669080196","12821","14613"
"42","a6731246-1cc5-43fd-a474-a0a9130aafb7","3033","2768"
"43","47367ccf-db82-4c05-a8ae-13a08bc78f15","1078","1014"
"44","0a176d0a-ef46-4e7f-b018-9f4d65614668","12894","15507"
"45","86c20d59-4cd7-4814-b6b7-e371c1016097","11805","12324"
"46","b5c4ffa2-82e1-4b72-b7f3-c60afb74b860","11172","21370"
"47","4342cf80-7c06-4402-a431-457e77310474","11512","8983"
"48","6a65d878-fcd0-42cf-aff9-ca1d636a8bcc","16132","18437"
"49","1a02453e-5f86-4220-abd6-1d889d2fa517","3400","2368"
"50","fd3c3f9f-a471-498e-ab3a-940ac20b6bbd","9510","7779"
"51","0c751690-c784-4a4f-b1e4-c1de27d47581","15893","15459"
"52","60feda7a-9247-48fe-8892-79f9a7d0d503","3380","3311"
"53","d4fbf9fc-4e93-4193-b9d4-c9eb62b5c869","565","438"
"54","20efa62f-4f98-4bdd-abcc-3e6cfb90d271","2309","2656"
"55","a0327dc2-dc76-44d5-aec6-47cd2dff1469","14730","21179"
"56","6c8b9855-ba8b-48f9-ac1d-42167f7f7b18","13873","21531"
"57","309c62ba-7a22-4277-9f67-4a162526d18a","16153","15920"
"58","9501a1d0-04a2-47ee-828d-9d016c315bb7","6218","9316"
"59","eb872766-98f6-453d-883f-2ae908a18315","17524","14724"
"60","6ffb8ea9-2370-44d8-b678-e9237bbd347b","14079","24169"
"61","32a83250-7e26-422d-b9ac-f4564343e9ce","14624","19957"
"62","6aa40207-fec8-43a7-991d-b872a42def05","12641","16532"
"63","6689a626-4de7-41d5-9ec3-5a289472a9e2","14530","17176"
"64","ed6a3c90-958e-455f-8db1-16ce498bfc12","538","585"
"65","c4d611dc-2a90-4f01-8da9-ef393ef292d8","1520","2460"
"66","e60a4481-472a-42cf-a84d-6a9419e4e5e3","1709","1540"
"67","d8f63b51-73e0-4f65-8bd3-bcfe6892fb0e","10578","14441"
"68","336dfcad-2587-4f5d-9338-3a445282364f","3823","4448"
"69","16d69e6c-e31e-4362-a5a8-b8bab2587b05","3040","6491"
"70","2b7a7c7f-8c18-4e0c-aaf2-8c6f4e93cdbb","9549","26807"
"71","cb50b2a7-a2cd-4099-961f-e8b71abb7dfa","5877","9648"
"72","4a4ee089-93b1-4470-af9a-6ff575d32704","21689","11882"
"73","0cf9d983-aecf-4d57-9e94-fde2beac014f","14488","14888"
"74","fbff36fb-9cc4-49f3-a704-b4e846df18f7","7977","4508"
"75","00d37ae3-fe24-49b8-855d-29df409c9229","3947","1512"
"76","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","11851","28376"
"77","cbedbebe-8d4e-42cd-b313-8b1c8d349cda","8598","7439"
"78","5e6c760b-42e0-4df4-a221-0269355da00a","8904","7514"
"79","01809552-4f87-45b0-afff-2c6f0730a3be","14476","18854"
"80","62d8c600-1830-49ac-89b3-edcf60d7471e","13768","15087"
"81","42685d8f-4f9b-4d45-a72c-43bfb5e60dc1","5833","4168"
"82","73e5e69d-3554-40d8-8516-00cb38737a1c","13443","21627"
"83","83d91898-7763-47d7-b03b-b92132375c47","25956","17186"
"84","e3e4e534-30cd-4979-bcc5-a75c49802f57","13738","16212"
"85","ca3ee934-b516-407a-b762-da69336f6b67","648","363"
"86","4e40b975-270b-4f97-b295-8db157f06a77","2891","1309"
"87","6f6fd596-76e0-4b82-aa37-f558ac2d337b","4664","8123"
"88","b5232ddf-8e3c-4bde-a63f-47e88cb8ae11","7913","3567"
"89","3f19d594-f107-4937-9d84-5e9ffb75550e","6321","3740"
"90","ff711332-b409-44dd-ad1d-f7714f8906db","18248","10896"
"91","4069600e-55c1-46dd-814f-4166d5b5dbba","15631","6049"
"92","cc7d4686-ea02-45fd-956e-94c1a322558c","11149","21141"
"93","75a72702-a5ef-4513-bca5-c5b944903546","14581","19874"
"94","f5b8ea5f-c269-45dd-9936-1fedf3c56851","14419","18186"
"95","6a22414d-1cfd-47e1-a517-c68dcf46b490","1744","1883"
"96","7b1cf87e-c54f-4abc-893d-90245a31900d","5128","4344"
"97","e28dbf43-a2d9-4651-908f-1879ad67d30e","8920","25838"
"98","5a797e16-f69a-4957-820f-1152ec19d236","20005","5660"
"99","8eae1e0a-1696-4532-9e3c-0a072217ef4c","16733","7782"
