"id","name","gid"
"1","Anni Rossi","f1c7e462-7d08-430f-8255-dd2afec63f36"
"2","Hospital Ships","85d76bfd-7a7f-4894-9df0-0b90c45e4c19"
"3","Parts & Labor","7e9f48eb-9cd2-4167-b844-0f4b25cc3199"
"4","RTX","e7720ff7-d4f9-4cfb-ba39-c00e63572d13"
"5","Sebastien Grainger","df6a8115-03f3-4731-ada8-a8f7ab87132a"
"6","Simon Bookish","20a41297-e27d-4c98-95c3-471b05327c3e"
"7","Super XX Man","1dae27d3-654f-4573-b917-3c40513908fd"
"8","The Whispertown 2000","ff5060a5-8d1f-4516-9592-0252a065fb00"
"9","White Hinterland","5e4e4d61-1ecc-462b-b6d5-79868054df0f"
"10","A.Armada","9e55c75a-f1ee-4d27-9d9f-ae6076801485"
"11","Crystal Antlers","90280fe3-6853-4935-9d65-ead97b8ab138"
"12","Dios Malos","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"13","Free Moral Agents","1e120e2b-b27f-4151-9495-207b31cf9114"
"14","The Happy Hollows","ef32f1b2-3841-4c8b-98fe-bb83320badec"
"15","Honey Claws","8c971da3-ae4c-490d-ae1e-1a73061cf14d"
"16","Mountain Goats","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"17","Ryan Adams","c80f38a6-9980-485d-997c-5c1a9cbd0d64"
"18","Wavves","763cf642-45ad-42ed-a1c3-e977eaa3b260"
"19","Memory Cassette","a3ef8948-afef-45f4-ae6d-97d98f33fa85"
"20","Grouper","7e571e09-887e-4544-b993-eb75e7837ec1"
"21","Sufjan Stevens","01d3c51b-9b98-418a-8d8e-37f6fab59d8c"
"22","Hacienda","8d3c48f7-f8b7-49fd-b5d9-d23d52b7e2a0"
"23","The DUTCHESS AND THE DUKE","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"24","Oh No! Oh My!","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"25","Oh No Oh My","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"26","Iran","a4360723-48ba-4438-a781-31d9e6d6bacb"
"27","Kanye West","164f0d73-1234-4e2c-8743-d77bf2191051"
"28","The Killers","95e1ead9-4d31-4808-a7ac-32c3614c116b"
"29","Peter Rehberg","cd0f1940-fec8-41ac-ae87-380514eb4d28"
"30","Uton","d10af145-7811-4bd1-a5ee-908db3f19444"
"31","Koen Holtkamp","165fbcc9-342a-43b2-bc4e-a96664ae12a5"
"32","Shearwater","9df31471-e54e-43ba-bbe8-38fd94c63dbb"
"33","Friendly Fires","ef656595-bbe8-4386-8953-be8df9f54472"
"34","Japanese Motors","f8edc50d-f18a-41f2-a44f-0a069bdd328f"
"35","The Japanese Motors","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"36","Spinner.com","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"37","The Capstan Shafts","d3fee896-e05f-4e17-a3fe-6721a7af7e3e"
"38","Shrag","bed91301-68b0-4d3d-9104-f8fb9ae76489"
"39","Pale Young Gentlemen","1b8a8801-49a2-48a2-8c49-04fa34476b29"
"40","Suicidal Birds","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"41","Mount Eerie with Julie Doiron and Fred Squire","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"42","Björk","87c5dedd-371d-4a53-9f7f-80522fb7f3cb"
"43","Nid & Sancy","8230144d-b3e5-4460-94ba-35b9e8fa930c"
"44","Steinski","900041e6-03f9-4bc3-a4cd-68452dd1ea2d"
"45","Sophie Hunger","a2a4ab71-cbda-436b-8d1d-94a1469ffbe6"
"46","Get Help","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"47","Kate Gaffney","c85ce357-0b2a-4513-8b86-527ca71c5bca"
"48","The Loom","739226f3-08aa-4f4e-83c2-4624925639eb"
"49","My Morning Jacket","ea5883b7-68ce-48b3-b115-61746ea53b8c"
"50","Nous Non Plus","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"51","Sylvie","aa021ee4-53dd-47c3-a3cf-35b894f8c919"
"52","Anthony Braxton","4e5f99db-d181-4317-9124-602b776f5306"
"53","El Guincho","7e57d8a2-e6eb-48dd-8e50-ff7eaa412ccb"
"54","Harlem","10df7475-e4cd-4f9b-aa05-effd1b95992b"
"55","Grizzly Bear","59a7fbcb-ff74-494d-abd0-9c82359040c9"
"56","Tim Hardin","8f4be405-84d5-4cac-bdf9-bf02d9e04962"
"57","Mark Lanegan","a9126556-f555-4920-9617-6e013f8228a7"
"58","City Center","67254816-5b8b-4646-ade9-242a5ee3d6ae"
"59","Ley Lines","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"60","Helios","2dc4f948-ab1a-4b56-a05a-effe56f09c26"
"61","Goldmund","224674a6-b81b-4744-9f5f-29d555a21821"
"62","The Ting Tings","e618770f-e994-41c3-856f-1eedf56b6d74"
"63","Neil Young","75167b8b-44e4-407b-9d35-effe87b223cf"
"64","R.E.M.","ea4dfa26-f633-4da6-a52a-f49ea4897b58"
"65","Tom Waits with the Kronos Quartet","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"66","Bright Eyes","78f797e3-4913-4026-aad0-1cd858bd735b"
"67","Devendra Banhart","0110e63e-0a9b-4818-af8e-41e180c20b9a"
"68","The Decemberists","97b1142f-c71e-4971-8736-4a8ceaf6b4c3"
"69","Pearl Jam","83b9cbe7-9857-49e2-ab8e-b57b01038103"
"70","Kimya Dawson","ba99a190-6065-4930-be3d-55ecc48e365d"
"71","The Arcade Fire","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"72","Radiohead","a74b1b7f-71a5-4011-9441-d0b5e4122711"
"73","Love Grenades","1f9dd35f-fd5b-41bd-91d1-d4042ddfdfa6"
"74","The Phenomenal Handclap Band","37116914-db39-443c-981d-75d6326450f1"
"75","Wetnurse","7ce195d9-03aa-4e80-bd62-9fd7779dd44a"
"76","Made Out of Babies","275563da-6962-4dc9-bf50-7675b834b6b3"
"77","Akimbo","494e73b3-3c83-4461-9198-5244a87b5fba"
"78","no artist","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"79","TT","a6a9b416-8f14-435c-a493-c4ec484f2c8d"
"80","Black Anvil","434feab0-1e1e-417d-9822-7fc3a45019f0"
"81","The Whip","9de23f23-f207-411c-9889-af24fe7edf52"
"82","The Sammies","1f4bf518-3aa3-4114-ada7-64884e580ad2"
"83","Eugene Francis Jnr","0e2e33e9-2244-40f7-b428-3fe96c29fdea"
"84","Fanfarlo","91f909a4-809a-47a7-b15f-94d6878b06cb"
"85","Faunts","9aae9381-7d0f-449a-be59-2c004d668052"
"86","Novillero","cd89d450-4882-40f8-80ee-aca115d4a42b"
"87","Radio Luxembourg","339ab9ac-a14b-4994-8fbe-5e9ec83a415a"
"88","School Of Seven Bells","57843aed-c1c1-4f45-9859-478dd999bc18"
"89","Max Tundra","5041fa92-55f8-4bcc-8021-3d0c876ab795"
"90","Love Is All","8d443437-d8ac-4fb4-8cfa-7af19f1ea6ce"
"91","Voluntary Butler Scheme","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"92","eric copeland","f83bf497-fb87-4b6f-9949-56bdbcc09e09"
"93","The Homosexuals","091babe9-0e5a-4b85-8f7b-bb5f41165ee3"
"94","Like A Fox","82abeb3c-3730-43c0-a643-acedf34dee9e"
"95","The Parson Redheads","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"96","EMOFILLIA","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"97","Blackstreet","d72d000b-b860-44f4-9ac1-5d82e3fff9a9"
"98","Steven Bernstein’s Millennial Territory Orchestra","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"99","Milton Nascimento & Jobim Trio","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"100","vinicio capossela","5115929f-f133-47b4-bf1c-8a0df582ce23"
"101","RF and Lili De La Mora","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"102","Sylvie Lewis","9fb6a4e2-f512-44df-a1a8-9630d94267c0"
"103","Princeton","346c0b5c-a3c4-4be9-a78f-c633df0a046b"
"104","TrackNField","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"105","Lily Frost","17450c7d-0c4b-489c-b6aa-40faca558521"
"106","Hauschka","767026a6-9e39-463b-9d04-ed0f86ac5ee7"
"107","Robert Francis","f7e6b373-bbf7-4262-8a5f-5b7b5966900f"
"108","Lenka","ae9ed5e2-4caf-4b3d-9cb3-2ad626b91714"
"109","Bitter:Sweet","dcebc476-b53c-42ee-9251-f946a4c3cea2"
"110","J.Viewz","28bacb90-e70f-4219-b6e9-5ce0149facff"
"111","Creative Construction Company","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"112","Circle","a32efa90-00a7-4180-8f55-6efc2dcd0018"
"113","Myra Melford","d912da37-417c-4707-a339-39671a27d9f7"
"114","Dewey Redman","85e008fe-58cc-4b40-8654-d4c9069e13c3"
"115","Eddie Henderson","b07d5aa9-936d-4860-bb06-3a4b4e0205ed"
"116","Roscoe Mitchell","56f33083-6014-4f4e-9c43-b9652cde55be"
"117","Heartbreak","1043ed37-a277-4d0a-b8fc-3ae1cb666bee"
"118","Sekta","fb69ff57-1b2b-44db-a781-32cd48ae628e"
"119","Skatebard","4b6aeeb8-db17-4d67-a9cb-2d3f8b841971"
"120","Boeoes Kaelstigen","21ed5282-73b5-4fe5-be64-de4b01c3a60b"
"121","Firefox AK Vs. Laid","f7c44d2f-1355-4d62-888d-213945c2910e"
"122","XL Middleton","a248e103-8a63-480e-b10a-d6751a0bfd7d"
"123","Twinz","bd9599df-e57f-42a3-9281-6e7d36779a06"
"124","Richard Bartz","ec31d334-8137-4ec4-ac54-8a67b2cde688"
"125","Len Faki","220f98db-2c1a-4c0c-a2d6-eebcc139d53c"
"126","Meterhead",\N
"127","Tilly and the wall","4c730f5d-a27c-49fc-b505-23c2c61a6840"
"128","Cosmos","c20766fa-0783-43e3-bfb2-0a050f2190c9"
"129","Dolle Jolle",\N
"130","Soundstream",\N
"131","Sasse","7c880ef3-3a53-41f2-b082-5b273596e18f"
"132","edits by Romain BNO",\N
"133","The Raveonettes","79255a50-40df-447f-9612-2cf669080196"
"134","Zoo Brazil","90ed1e8b-b893-452d-9548-39e9ee64806b"
"135","Salem","7174b645-a373-457a-bf90-a0f1932be8e5"
"136","Likke Li",\N
"137","The Films","a43dccad-c63f-49e5-b342-f96debc02ac4"
"138","La Horse","343216f6-3cd6-476d-bc12-1f938c9b5723"
"139","Gringo Star","a6731246-1cc5-43fd-a474-a0a9130aafb7"
"140","Miles Benjamin Anthony Robinson","47367ccf-db82-4c05-a8ae-13a08bc78f15"
"141","Catfish Haven","fac10a90-c2fd-459f-ad22-18c8a746fe13"
"142","The Avett Brothers","0a176d0a-ef46-4e7f-b018-9f4d65614668"
"143","Bottle Up and Go",\N
"144","The Spinto Band","86c20d59-4cd7-4814-b6b7-e371c1016097"
"145","Backyard Tire Fire","9b4e77ff-8b84-4f05-91c0-b0cc06b5ac77"
"146","Ray LaMontagne","b5c4ffa2-82e1-4b72-b7f3-c60afb74b860"
"147","Dakotafish","81247fe0-be62-443d-b518-41e4eee680de"
"148","Holy Fuck","4342cf80-7c06-4402-a431-457e77310474"
"149","Foals","6a65d878-fcd0-42cf-aff9-ca1d636a8bcc"
"150","Atlas Sound","1a02453e-5f86-4220-abd6-1d889d2fa517"
"151","Panda Bear","fd3c3f9f-a471-498e-ab3a-940ac20b6bbd"
"152","Animal Collective","0c751690-c784-4a4f-b1e4-c1de27d47581"
"153","Department of Eagles","60feda7a-9247-48fe-8892-79f9a7d0d503"
"154","The Standard","24b450f8-cbb4-4a44-a201-49c9e3de36ef"
"155","M.I.A.","7a7a92dc-be72-43f1-9951-2d758ca84996"
"156","Weird Tapes","30bcd24c-1392-4915-9dda-c1e1d5693aff"
"157","Pretty & Nice","bb8349b8-3c7f-4268-8a4b-ea58c6842a9d"
"158","The Mommyheads","f2578144-0644-4dbc-ae93-e6237aaf9cd4"
"159","The Sand Band","d4fbf9fc-4e93-4193-b9d4-c9eb62b5c869"
"160","Belle & Sebastian",\N
"161","Horse Feathers","20efa62f-4f98-4bdd-abcc-3e6cfb90d271"
"162","Counting Crows","a0327dc2-dc76-44d5-aec6-47cd2dff1469"
"163","Rock Plaza Central","a0569fe6-f028-49b8-a448-a52662a75f2d"
"164","The Shins","6c8b9855-ba8b-48f9-ac1d-42167f7f7b18"
"165","Beck","309c62ba-7a22-4277-9f67-4a162526d18a"
"166","Grace Potter and the Nocturnals","9501a1d0-04a2-47ee-828d-9d016c315bb7"
"167","Zwan","5af2629b-36de-486c-ad50-a89a28ff050f"
